l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,055	8,747	15,70393605	8,705980939	42,01943197	12,82426077	6,268494708	37,54126012	5,952446202	-26,73267711	37,33868361	0,208030179	-0,934271964	1,304937965	-0,141965589	-5,296702296	0,72969864	91,16152027	44,55972299	266,8628163	44,81910751	21,90756593	131,2017748	42,91532447	24,57161366	131,3275242	0,953065337	0,145390659	7,301984239	0,508575448	0,281945121	1,360808612
0,056	9,808	13,36222392	8,378430465	22,52487926	10,65531237	6,102177677	19,74330805	4,948371101	-10,35041966	18,85434353	0,172939073	-0,361733576	0,65893455	0,303452929	-0,809413181	0,749655448	75,74350618	43,37745497	140,3457095	37,23891765	21,32630974	69,00026924	38,41005424	24,29493602	72,68263878	0,574520272	0,14638472	2,005096606	0,432738581	0,271337326	0,729473204
0,057	8,866	14,24128066	9,515199176	27,29521144	11,55656382	7,171075384	23,40033036	5,16519995	-11,06175577	22,53687474	0,180516956	-0,38659384	0,78763418	0,194851596	-1,656964378	0,677114477	82,15007053	50,97573621	166,3417275	40,38867311	25,06196688	81,78108204	41,60619865	27,57514557	75,94279839	0,684700463	0,113865089	2,867004892	0,461207029	0,308151833	0,883961468
0,058	8,8	11,85984683	8,994346034	18,11770736	9,297910782	6,655469465	15,14403466	3,691802694	-6,920252403	12,16371533	0,129023657	-0,241853735	0,425105879	0,481066731	-0,170629024	0,7114959	66,09438918	47,31054098	107,6516805	32,49497733	23,25999189	52,92641266	34,64089216	25,92951692	54,65119589	0,389039882	0,105977667	1,131008704	0,384083767	0,291283889	0,586745966
0,059	8,947	14,09983822	9,062595331	28,5269788	11,35695426	6,648032832	23,84870949	7,171341183	-2,865499053	21,86768108	0,250628958	-0,100145429	0,764246741	0,210543824	-1,902180135	0,707100937	80,73114188	47,25767752	169,5290398	39,69106391	23,23400183	83,34810825	37,89091563	25,77531923	60,55793036	0,714607255	0,121296708	2,962561509	0,456626384	0,293494157	0,923852527
0,06	9,003	14,74551943	8,670810394	34,35222479	11,98930058	6,483462431	29,67718308	8,580498153	-0,916080536	28,97620738	0,299877144	-0,032015812	1,012680401	0,075800262	-3,208453609	0,731878164	85,22618869	46,08782545	210,9608636	41,90103129	22,65884989	103,7178581	38,27119389	25,44066162	69,29575157	0,893306154	0,129272702	4,617649112	0,477536913	0,280806115	1,112504409
0,061	9,132	15,98306933	8,714484982	40,52845977	13,24619958	6,297862245	39,06314323	6,192758222	-38,93573236	24,88698356	0,216428769	-1,360752722	0,869767398	-0,112147549	-4,857779296	0,729170319	94,16088097	44,76848273	277,6811535	46,29372826	22,01020161	136,5205564	46,71980144	24,29495726	199,2170833	0,775933923	0,154420619	3,516027073	0,517615241	0,282220526	1,312523147
0,062	9,057	14,88484757	8,692151951	30,4892393	12,15572518	6,36970667	27,43710047	8,33730305	-2,931182409	27,13680164	0,291377794	-0,102440976	0,948395586	0,076621375	-2,315171377	0,730556677	86,40922138	45,2791903	195,0371905	42,48266342	22,26128844	95,88906353	39,12834519	26,37069423	67,66804434	0,897179801	0,10361045	3,873610109	0,482049086	0,281497266	0,987400768
0,063	8,9	13,5938404	8,157735221	25,89200857	11,00628012	5,987138339	23,0496391	7,258877002	-2,231901584	22,57363584	0,25368822	-0,07800203	0,788918932	0,260922705	-1,390805743	0,76267034	78,23836763	42,55969548	163,8488315	38,46550386	20,92426236	80,55546215	36,85747844	25,31696044	61,23773693	0,690481948	0,113649299	2,738716783	0,440239532	0,264190062	0,838518433
0,064	8,863	17,11056708	9,246922679	34,06937717	14,27359195	7,041496854	30,07147547	10,19720336	-9,731298988	29,61097149	0,356378868	-0,340096122	1,034864573	-0,208884515	-3,139436211	0,695065012	101,4641207	50,05462457	213,7636992	49,8843297	24,60910693	105,0958583	44,98108066	27,43622828	70,64896971	1,191940771	0,099860391	4,697321703	0,554129505	0,299463639	1,103344326
0,065	8,902	14,8861131	9,083625123	40,02215336	12,37193313	6,85112793	38,55218276	3,946810187	-38,42500129	18,72908754	0,137935834	-1,342903341	0,654557017	0,060788578	-4,71233554	0,705740013	87,94614002	48,70138318	274,0489806	43,23828182	23,94379253	134,7348167	47,56368542	26,26869273	199,2138507	0,570507633	0,122605156	1,977104995	0,48209007	0,294175212	1,296126302
