l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,011	8,915	15,69701327	10,74738632	32,0418105	12,45048643	7,743751962	27,3751995	4,187836943	-9,667116233	25,64720803	0,146359402	-0,337853019	0,896336245	0,000710383	-2,661397676	0,588074643	88,50453771	55,04661939	194,5971662	43,51281526	27,06339632	95,67272779	42,38157218	29,09759976	77,01975016	0,779590853	0,161873405	3,884329064	0,508351252	0,348056487	1,037681131
0,0112	8,874	13,42444266	9,340754889	23,72304655	10,47192112	6,708167638	19,16284234	2,015051456	-9,273271506	16,33050089	0,070423403	-0,324088663	0,570729564	0,323833598	-1,007029372	0,688845019	74,43986574	47,68514702	136,2194572	36,59798932	23,44416509	66,97161783	38,99193397	26,09199906	65,33361266	0,450996204	0,117649186	1,900317561	0,434753549	0,302502416	0,768276117
0,0114	9,048	14,63462533	9,639802884	24,32386244	11,51496068	7,031718893	19,90159135	2,705301487	-12,14245764	17,03518878	0,094546735	-0,424362951	0,59535748	0,166134202	-1,109977789	0,668602588	81,85433379	49,98511774	141,4708696	40,24327562	24,57493424	69,55344861	42,21484166	26,62485993	79,99148921	0,581328933	0,147478129	2,034551051	0,473945583	0,312187152	0,787733673
0,0116	8,937	15,71022846	10,49299661	33,61538478	12,45571155	8,104653391	27,82843365	3,632662513	-12,39162601	25,39939899	0,126956785	-0,433071058	0,887675644	0,013953252	-3,029850915	0,607344332	88,54168063	57,61209458	197,8189904	43,5310764	28,32469943	97,25672161	43,79836591	31,51284421	78,39332547	0,733383137	0,21740095	4,052627543	0,508779229	0,339818019	1,088641682
0,0118	9,203	13,80737632	9,561322877	22,03065251	10,82139675	7,085714666	18,40596761	2,272453401	-14,12585967	15,32311659	0,079419263	-0,493680248	0,535522805	0,281274861	-0,730882261	0,673976598	76,92412039	50,36894779	130,8391977	37,81936075	24,76364237	64,32644002	40,61000756	26,8213606	82,49344582	0,473970691	0,17822387	1,695524392	0,44715494	0,309645559	0,713467561
0,012	8,85	16,67975358	10,68231994	29,3586902	13,29608624	7,957262961	24,20233696	5,610140308	-8,883663031	20,26337201	0,196067037	-0,310472358	0,708178245	-0,107382505	-2,073874687	0,593047268	94,51550131	56,5643667	172,0428079	46,46807558	27,80958923	84,58398981	43,83234724	29,88579269	61,64018902	0,888573159	0,188889732	2,966158081	0,540177514	0,345949297	0,950787685
0,0122	9,029	14,51769507	9,613710038	32,40586553	11,41160675	6,831875998	27,18719673	2,233423635	-11,64663638	24,50623254	0,078055223	-0,407034649	0,85646065	0,105737538	-2,745071015	0,670394201	81,11964027	48,56453043	193,2607447	39,88206721	23,87650956	95,01568279	41,05167655	26,20525971	76,66318532	0,658343529	0,142383009	3,812903779	0,470158771	0,311342129	1,049471133
0,0124	8,906	13,99629446	9,578593902	27,99614508	11,00328714	6,848551772	23,75355062	0,21576764	-12,05804229	21,87421446	0,007540796	-0,421412745	0,764475074	0,251102696	-1,795176762	0,672797715	78,21709195	48,68307051	168,8526009	38,45504378	23,9347892	83,01554046	42,65404378	25,91764284	76,59339513	0,457652536	0,174626169	2,9156775	0,453273096	0,310204885	0,90666136
0,0126	8,839	15,13256382	9,803624284	26,54144197	12,02612666	6,905772138	23,07939852	4,435658168	-9,384267193	22,1455238	0,155020429	-0,327967816	0,773956979	0,126569087	-1,512244095	0,657243165	85,48796765	49,08982265	164,060377	42,02973361	24,13476687	80,6594674	42,44818295	26,1107273	66,23595666	0,669890537	0,166472383	2,759489425	0,490071431	0,317492544	0,859550477
0,0128	8,961	13,21359247	9,864397325	22,65588868	10,25640266	7,286819553	18,45711243	1,733955192	-11,03586022	15,3542951	0,060599457	-0,385688824	0,536612453	0,327336136	-0,830522243	0,652980468	72,90784834	51,798506	131,2027616	35,84478059	25,46647755	64,50518443	37,89897764	27,58468895	62,01907313	0,454963465	0,138725826	1,69047705	0,427925119	0,319460692	0,733715973
